"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","1463259","Pia  Stoll and Fredrik  Alfredsson and Sara  L&#246;vemark","","","","Usability Supporting Architecture Pattern for Industry","593--594","","2","HCI, human-computer interaction, software architecture, usability","10.1145/1463160.1463259","","","","","","","2008","","Proceedings of the 5th Nordic Conference on Human-computer Interaction: Building Bridges","NordiCHI '08","","978-1-59593-704-9","Lund, Sweden","ACM","New York, NY, USA"
"article","777036","David  Thevenin and Jo&#235;lle  Coutaz","","","","Adaptation Des IHM: Taxonomies Et Archi. Logicielle","207--210","","4","adaptation, arch model, human computer interaction, software architecture, taxonomy","10.1145/777005.777036","","","","","","","2002","","Proceedings of the 14th Conference on L'Interaction Homme-Machine","IHM '02","","1-58113-615-3","Poitiers, France","ACM","New York, NY, USA"
"article","2166981","Ali  Bigdelou and Loren  Schwarz and Nassir  Navab","","","","An Adaptive Solution for Intra-operative Gesture-based Human-machine Interaction","75--84","","10","gesture-based interaction, inertial sensors, operating room","10.1145/2166966.2166981","","","","","","","2012","","Proceedings of the 2012 ACM International Conference on Intelligent User Interfaces","IUI '12","","978-1-4503-1048-2","Lisbon, Portugal","ACM","New York, NY, USA"
"article","2667273","Sebastian  Osswald and Markus  Lienkamp","","","","An Automotive HMI Architecture Based on a Mobile Operating System","1--6","","6","Android, HMI, Mobile Operating System, Software Architecture","10.1145/2667239.2667273","","","","","","","2014","","Adjunct Proceedings of the 6th International Conference on Automotive User Interfaces and Interactive Vehicular Applications","AutomotiveUI '14","","978-1-4503-0725-3","Seattle, WA, USA","ACM","New York, NY, USA"
"article","1102652","Nicolas  Barralon and Viet-Tung  Nguyen and Ga&#235;tan  Rey","","","","Techniques De Couplage De Bureaux: Ambient-Desktop Comme Illustration","193--200","","8","coupling, human computer interaction, interaction context, interaction resources, interaction technique, software architecture, ubiquitous computing","10.1145/1102613.1102652","","","","","","","2005","","Proceedings of the 2Nd French-speaking Conference on Mobility and Ubiquity Computing","UbiMob '05","","1-59593-172-4","Grenoble, France","ACM","New York, NY, USA"
"article","1811185","David  Benyon and Kristina  H&#246;&#246;k and Laurence  Nigay","","","","Spaces of Interaction","2:1--2:7","2","7","emotion, gesture, human-computer interaction, interaction design, navigation of information space, presence, software architecture","","","","","","","","2010","","Proceedings of the 2010 ACM-BCS Visions of Computer Science Conference","ACM-BCS '10","","978-1-4503-0192-3","Edinburgh, United Kingdom","British Computer Society","Swinton, UK, UK"
"article","777020","Ga&#235;tan  Rey and Jo&#235;lle  Coutaz","","","","Le Contexteur: Une Abstraction Logicielle Pour La R&#x00E9;Alisation De Syst&#x00E8;Mes Interactifs Sensibles Au Contexte","105--112","","8","context modeling, human computer interaction, interaction context, software architecture modeling, ubiquitous computing","10.1145/777005.777020","","","","","","","2002","","Proceedings of the 14th Conference on L'Interaction Homme-Machine","IHM '02","","1-58113-615-3","Poitiers, France","ACM","New York, NY, USA"
"article","2037465","Joerg  Doerflinger and Tom  Gross","","","","Bottom Billion Architecture: A Generic Software Architecture for ICTD Use Case Scenarios","587--592","","6","mobile HCI, software architecture, technical ICTD","10.1145/2037373.2037465","","","","","","","2011","","Proceedings of the 13th International Conference on Human Computer Interaction with Mobile Devices and Services","MobileHCI '11","","978-1-4503-0541-9","Stockholm, Sweden","ACM","New York, NY, USA"
"article","2829923","Juan  Cruz-Benito and Oriol  Borr&#225;s-Gen&#233; and Francisco J. Garc&#237;a-Pe&#241;alvo and &#193;ngel Fidalgo Blanco and Roberto  Ther&#243;n","","","","Extending MOOC Ecosystems Using Web Services and Software Architectures","52:1--52:7","52","7","HCI, MOOC, Moodle, Software Architectures, Web Services, eLearning, iMOOC","10.1145/2829875.2829923","","","","","","","2015","","Proceedings of the XVI International Conference on Human Computer Interaction","Interacci&oacute;n '15","","978-1-4503-3463-1","Vilanova i la Geltr&uacute;, Spain","ACM","New York, NY, USA"
"article","1639647","J&#233;r&#233;my  Bauchet and H&#233;l&#232;ne  Pigot and Sylvain  Giroux and Dany  Lussier-Desrochers and Yves  Lachapelle and Mounir  Mokhtari","","","","Designing Judicious Interactions for Cognitive Assistance: The Acts of Assistance Approach","11--18","","8","activity monitoring, assistance generation, cognitive assistance, pervasive HMI, speech-acts theory","10.1145/1639642.1639647","","","","","","","2009","","Proceedings of the 11th International ACM SIGACCESS Conference on Computers and Accessibility","Assets '09","","978-1-60558-558-1","Pittsburgh, Pennsylvania, USA","ACM","New York, NY, USA"
"article","1570493","Elspeth  Golden","","","","Helping Software Architects Design for Usability","317--320","","4","software architecture, usability","10.1145/1570433.1570493","","","","","","","2009","","Proceedings of the 1st ACM SIGCHI Symposium on Engineering Interactive Computing Systems","EICS '09","","978-1-60558-600-7","Pittsburgh, PA, USA","ACM","New York, NY, USA"
"article","337228","Roy T. Fielding and Richard N. Taylor","","","","Principled Design of the Modern Web Architecture","407--416","","10","WWW, software architectural style, software architecture","10.1145/337180.337228","","","","","","","2000","","Proceedings of the 22Nd International Conference on Software Engineering","ICSE '00","","1-58113-206-9","Limerick, Ireland","ACM","New York, NY, USA"
"article","1039185","Shang-Wen  Cheng and Robert L. Nord and Judith A. Stafford","","","","WICSA Wiki WAN Party: Capturing Experience in Software Architecture Best Practices","1--","","","Software Architecture, WICSA, Wiki","10.1145/1039174.1039185","SIGSOFT Softw. Eng. Notes","January 2005","30","1","","January","2005","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1050902","Ga&#235;tan  Rey and Jo&#235;lle  Coutaz","","","","Contextor: Capture and Dynamic Distribution of Contextual Information","131--138","","8","context modeling, human computer interaction, interaction context, software architecture, ubiquitous computing","10.1145/1050873.1050902","","","","","","","2004","","Proceedings of the 1st French-speaking Conference on Mobility and Ubiquity Computing","UbiMob '04","","1-58113-915-2","Nice, France","ACM","New York, NY, USA"
"article","1148629","Pierre  Leclercq and Genevi&#232;ve  Martin and Catherine  Deshayes and Fran&#231;ois  Guena","","","","Vers Une Interface Multimodale Pour Une Assistance \`{a} La Conception Architecturale","109--116","","8","activity analysis of an architectural design, multimodal human computer interaction (drawing / gesture / speech)","10.1145/1148613.1148629","","","","","","","2004","","Proceedings of the 16th Conference on L'Interaction Homme-Machine","IHM '04","","1-58113-926-8","Namur, Belgium","ACM","New York, NY, USA"
"article","1463220","Florian  Echtler and Gudrun  Klinker","","","","A Multitouch Software Architecture","463--466","","4","architecture, framework, multitouch, widgets","10.1145/1463160.1463220","","","","","","","2008","","Proceedings of the 5th Nordic Conference on Human-computer Interaction: Building Bridges","NordiCHI '08","","978-1-59593-704-9","Lund, Sweden","ACM","New York, NY, USA"
"article","1570437","Bonnie E. John and Len  Bass and Elspeth  Golden and Pia  Stoll","","","","A Responsibility-based Pattern Language for Usability-supporting Architectural Patterns","3--12","","10","software architecture, usability","10.1145/1570433.1570437","","","","","","","2009","","Proceedings of the 1st ACM SIGCHI Symposium on Engineering Interactive Computing Systems","EICS '09","","978-1-60558-600-7","Pittsburgh, PA, USA","ACM","New York, NY, USA"
"article","1862704","Vipul  Delwadia and Stuart  Marshall and Ian  Welch","","","","Using Remotely Executing Software via a Mobile Device","3--8","","6","human computer interaction, mobile devices, remote gaming","","","","","","","","2009","","Proceedings of the Tenth Australasian Conference on User Interfaces - Volume 93","AUIC '09","","978-1-920682-74-3","Wellington, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia"
"article","1028088","Pertti  Repo","","","","Facilitating User Interface Adaptation to Mobile Devices","433--436","","4","pervasive networking, reference model, software architecture, user interface","10.1145/1028014.1028088","","","","","","","2004","","Proceedings of the Third Nordic Conference on Human-computer Interaction","NordiCHI '04","","1-58113-857-1","Tampere, Finland","ACM","New York, NY, USA"
"article","1255173","Philip  Hanna and Ian  O'neill and Craig  Wootton and Michael  Mctear","","","","Promoting Extension and Reuse in a Spoken Dialog Manager: An Evaluation of the Queen's Communicator","","7","","Human-computer interaction, dialog management, speech and language processing, spoken dialog systems","10.1145/1255171.1255173","ACM Trans. Speech Lang. Process.","July 2007","4","3","","July","2007","1550-4875","","","","","","ACM","New York, NY, USA"
"article","2809749","Nadine  Walter and Tobias  Altm&#252;ller and Klaus  Bengler","","","","Concept of a Reference Architecture for an Extendable In-vehicle Adaptive Recommendation Service","88--93","","6","adaptive system, driver distraction, prototyping, recommendation system, software architecture","10.1145/2809730.2809749","","","","","","","2015","","Adjunct Proceedings of the 7th International Conference on Automotive User Interfaces and Interactive Vehicular Applications","AutomotiveUI '15","","978-1-4503-3858-5","Nottingham, United Kingdom","ACM","New York, NY, USA"
"article","1067362","Henrik  L&#246;rstad and Mark  d'Inverno and John  Eacott","","","","The Intelligent Street: Responsive Sound Environments for Social Interaction","155--162","","8","algorithmic and generative composition, algorithmic music, ambient intelligence, human computer interaction, intelligent responsive sound, prototype, software architectures","10.1145/1067343.1067362","","","","","","","2004","","Proceedings of the 2004 ACM SIGCHI International Conference on Advances in Computer Entertainment Technology","ACE '04","","1-58113-882-2","Singapore","ACM","New York, NY, USA"
"article","777037","Laurence  Nigay and Phil  Gray","","","","Architecture Logicielle Conceptuelle Pour La Capture De Contexte","211--214","","4","conceptual software architecture, context-aware/context-sensitive system","10.1145/777005.777037","","","","","","","2002","","Proceedings of the 14th Conference on L'Interaction Homme-Machine","IHM '02","","1-58113-615-3","Poitiers, France","ACM","New York, NY, USA"
"article","587112","Yann  Laurillau and Laurence  Nigay","","","","Clover Architecture for Groupware","236--245","","10","clover design model, conceptual software architecture","10.1145/587078.587112","","","","","","","2002","","Proceedings of the 2002 ACM Conference on Computer Supported Cooperative Work","CSCW '02","","1-58113-560-2","New Orleans, Louisiana, USA","ACM","New York, NY, USA"
"article","1596659","Philip  Hanna and Ian  O'Neill and Darryl  Stewart and Behrang  Qasemizadeh","","","","Development of a Java-based Unified and Flexible Natural Language Discourse System","21--29","","9","dialogue management, human computer interaction, spoken dialogue systems","10.1145/1596655.1596659","","","","","","","2009","","Proceedings of the 7th International Conference on Principles and Practice of Programming in Java","PPPJ '09","","978-1-60558-598-7","Calgary, Alberta, Canada","ACM","New York, NY, USA"
"article","1178575","Iulia  Dobai and Leon  Rothkrantz and Charles  van der Mast","","","","Personality Model for a Companion AIBO","438--441","","4","AIBO-robot, companion robot, human-computer interaction, personality modeling","10.1145/1178477.1178575","","","","","","","2005","","Proceedings of the 2005 ACM SIGCHI International Conference on Advances in Computer Entertainment Technology","ACE '05","","1-59593-110-4","Valencia, Spain","ACM","New York, NY, USA"
"article","1180642","Pablo  Cesar and Konstantinos  Chorianopoulos","","","","Interactive Digital Television and Multimedia Systems","7--7","","1","interactive digital television, software architecture, tutorial projects","10.1145/1180639.1180642","","","","","","","2006","","Proceedings of the 14th ACM International Conference on Multimedia","MM '06","","1-59593-447-2","Santa Barbara, CA, USA","ACM","New York, NY, USA"
