"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&rowsPerPage%3D75%26queryText%3D%28%22software+architectur*%22+AND+%28%28HCI+OR+%22Human-Computer+Interaction%22+OR+%22Human+Computer+Interaction%22%29+OR+%28HMI+OR+%22Human-Machine+Interaction%22+OR+%22Human+Machine+Interaction%22%29%29%29",2017/05/04 16:53:42
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Speech based human machine interaction system for home automation","M. Katore; M. R. Bachute","Department of E & Tc., G.H. Raisoni Institute of Engineering & Technology, Pune, India","2015 IEEE Bombay Section Symposium (IBSS)","20160421","2015","","","1","6","Human-machine interaction technology defines the way human use machines and it plays crucial role for developing an ecosystem between user and machine. Speech based Human-machine interaction has potential to be future of Human-machine interaction and recent advancement in technology have made it possible to operate computers and electronic devices through speech. While there are lots of research going on for the development of better speech recognition systems but very less efforts are made to develop speech based Human-machine interaction system for everyday use. This paper presents an innovative approach by integrating an Android enabled device, Bluetooth technology, Matlab computing platform and advanced microcontroller to develop a Speech based Human-machine interaction system for operating home appliances. The proposed system is very effective speech based Human-machine interaction system for real world applications as it is affordable, flexible, user configurable, user friendly, and also it is very helpful for elderly persons and disabled people.","","Electronic:978-1-4673-9542-7; POD:978-1-4673-9543-4","10.1109/IBSS.2015.7456634","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7456634","Android application;Bluetooth technology;Human Machine Interaction (HMI)systems;Human-computer interaction (HCI) systems;Matlab;Microcontroller;Speech commands;Speech recognition","Androids;Bluetooth;Humanoid robots;MATLAB;Man machine systems;Speech;Speech recognition","Bluetooth;home automation;man-machine systems;mathematics computing;smart phones;speech recognition","Android enabled device;Bluetooth technology;Matlab computing platform;disabled people;elderly persons;electronic devices;home appliances;home automation;microcontroller;speech based human machine interaction system;speech based human-machine interaction;speech recognition systems","","","","19","","","10-11 Sept. 2015","","IEEE","IEEE Conference Publications"
"A review study of human-affection knowledge on usability engineering","D. Lakshmi; R. Ponnusamy","Dept. of Computer Science and Engineering, Satyabama University, Chennai, Tamilnadu, India","2016 International Conference on Advances in Human Machine Interaction (HMI)","20160409","2016","","","1","7","An increasingly large amount of multimodal content is posted on social media websites such as YouTube and Facebook every day. In order to cope with the growth of such so much multimodal data, there is very urgent need to develop an intelligent multi-modal analysis framework that can effectively extract information from multiple modalities. In this research work, here propose a novel multimodal information extraction agent, which infers and aggregates the semantic and affective information associated with user generated multimodal data in contexts such as e-learning, e-health, automatic video content tagging and human-computer interaction (HCI). In particular, the developed intelligent agent adopts an ensemble feature extraction approach by exploiting the joint use of tri-modal (text, audio and video data) features to enhance the multimodal information extraction process. In preliminary experiments using the INTERFACE and SEMINE dataset, our proposed multi-modal system is shown to achieve an accuracy of 88.75%, outperforming the best state-of-the-art system by more than 10%, or in relative terms, a 46% reduction in error rate.","","Electronic:978-1-4673-8810-8; POD:978-1-4673-8811-5","10.1109/HMI.2016.7449174","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7449174","Affection;HCI;Modalaties;Multi model Analysis;Video","Cameras;Computers;Electroencephalography;Feature extraction;Human computer interaction;Sensors;Three-dimensional displays","human computer interaction;social networking (online)","Facebook;HCI;YouTube;feature extraction approach;human-affection knowledge;human-computer interaction;intelligent multimodal analysis framework;multimodal information extraction agent;social media Web sites;usability engineering","","","","51","","","3-5 March 2016","","IEEE","IEEE Conference Publications"
"A statistical approach for estimating user satisfaction in spoken human-machine interaction","A. Schmitt; B. Schatz; W. Minker","Dialogue Systems Research Group, University of Ulm, Albert-Einstein-Allee 43, 89081 Ulm, Germany","2011 IEEE Jordan Conference on Applied Electrical Engineering and Computing Technologies (AEECT)","20120119","2011","","","1","6","This paper addresses a new approach for statistical modeling of user satisfaction in Spoken Dialogue Systems (SDS) and thereby allows an online monitoring of spoken human-machine interaction. The presented technique relies on a large set of input variables originating from system log files that quantify the ongoing spoken human-machine interaction. The target variable, user satisfaction (US), is captured in a lab study on a 5 point scale with 46 users interacting with an SDS. The model, which is based on Support Vector Machines (SVM) yields a performance of 49.2% unweighted average recall (Cohen's κ = .442, Spearman's ρ = .668) and significantly outperforms related work in that field.","","Electronic:978-1-4577-1084-1; POD:978-1-4577-1083-4","10.1109/AEECT.2011.6132535","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6132535","Artificial Intelligence;HCI;HMI;Human Computer Interaction;Machine Learning;Spoken Dialogue System;User Modeling","Computational modeling;Computers;Delta modulation;Electrical engineering;Input variables;Predictive models;Support vector machines","man-machine systems;statistical analysis;support vector machines;user interfaces","spoken dialogue systems;spoken human-machine interaction;statistical approach;support vector machines;user satisfaction","","1","","16","","","6-8 Dec. 2011","","IEEE","IEEE Conference Publications"
"A formal framework for design and analysis of human-machine interaction","S. Combéfis; D. Giannakopoulou; C. Pecheur; M. Feary","Computer Science and Engineering Department, ICT, Electronics and Applied Mathematics Institute, Universit&#x00E9; catholique de Louvain, Louvain-la-Neuve, Belgium","2011 IEEE International Conference on Systems, Man, and Cybernetics","20111121","2011","","","1801","1808","Automated systems are increasingly complex, making it hard to design interfaces for human operators. Human-machine interaction (HMI) errors like automation surprises are more likely to appear and lead to system failures or accidents. In previous work, we studied the problem of generating system abstractions, called mental models, that facilitate system understanding while allowing proper control of the system by operators as defined by the full-control property. Both the domain and its mental model have Labelled Transition Systems (LTS) semantics, and we proposed algorithms for automatically generating minimal mental models as well as checking full-control. This paper presents a methodology and an associated framework for using the above and other formal method based algorithms to support the design of HMI systems. The framework can be used for modelling HMI systems and analysing models against HMI vulnerabilities. The analysis can be used for validation purposes or for generating artifacts such as mental models, manuals and recovery procedures. The framework is implemented in the JavaPathfinder model checker. Our methodology is demonstrated on two examples, an existing benchmark of a medical device, and a model generated from the ADEPT toolset developed at NASA Ames. Guidelines about how ADEPT models can be translated automatically into JavaPathfinder models are also discussed.","1062-922X;1062922X","Electronic:978-1-4577-0653-0; POD:978-1-4577-0652-3","10.1109/ICSMC.2011.6083933","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6083933","Formal methods;HCI;Learning","Algorithm design and analysis;Analytical models;Cognitive science;Decoding;Humans;Presses;Usability","formal verification;human computer interaction","ADEPT toolset;HMI;JavaPathfinder model checker;LTS semantics;formal framework;human-machine interaction;labelled transition system;mental model","","3","","28","","","9-12 Oct. 2011","","IEEE","IEEE Conference Publications"
"User and Usability Modeling for HCI/HMI: A Research Design","S. Adikari; C. McDonald","School of Information Sciences and Engineering, University of Canberra, ACT 2601 Australia. Sisira.Adikari@canberra.edu.au","2006 International Conference on Information and Automation","20070625","2006","","","151","154","A key reason for the presence of poor usability in products is the insufficient specification of usability perspectives effectively in product requirements specifications. The explicit expression of usability perspective in product requirements specifications is quite important in providing a clear visibility of usability aspects for both product developers and testers. Such specifications incorporating usability of human-interactive systems can be built for optimal usability and also evaluated effectively to uncover usability related issues. In this paper, we present a design science-oriented research design to test the proposition that incorporating user modeling and usability modeling in product requirements specifications improves design. We expect our proposal and the research design will make a contribution to knowledge by theory testing and to practice with effective techniques to specify usable human-interactive systems.","2151-1802;21511802","CD-ROM:1-4244-0555-6; POD:1-4244-0554-8","10.1109/ICINFA.2006.374099","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4250189","Human-Computer Interaction (HCI);Human-Machine Interaction (HMI);User modeling;usability modeling","Australia;Behavioral science;Context modeling;Design engineering;Human computer interaction;Information systems;Man machine systems;Process design;System testing;Usability","formal specification;human computer interaction;interactive systems;user interface management systems;user modelling","HCI;HMI;design science-oriented research;human computer interaction;human-interactive systems;human-machine interaction;product requirements specification;usability modeling;user modeling","","1","","25","","","15-17 Dec. 2006","","IEEE","IEEE Conference Publications"
"Smooth Path Planning for Intelligent Wheelchair Based on Human-Machine Interaction","T. Lu; K. Yuan; W. Zou; H. Hu","Hi-tech Innovation Center, Institute of Automation, CAS, Beijing, China, email: tlu@hitic.ia.ac.cn","2006 IEEE International Conference on Information Acquisition","20070212","2006","","","988","993","Path planning is a complicated and challenge problem in mobile robotics if a mobile robot is expected operated in the real world. Human-machine interaction (HMI) could play an important role in this process and the robot can get help from the user during path planning. In this paper, we introduce a smooth path planning method for an intelligent wheelchair (IW) based on HMI. The user first presents some key points on a known environment map to the system via HCI. Then these key points are used by IW as path skeleton points for generating a smooth collision-free path. Under the cooperation of the user and IW, smooth path planning becomes easy and convenient. Simulation results show that the proposed method works well and very convenient for the user","","CD-ROM:1-4244-0529-7; POD:1-4244-0528-9","10.1109/ICIA.2006.305872","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4097805","Human-robot interaction;Intelligent wheelchair;Smooth path planning","Content addressable storage;Human computer interaction;Intelligent robots;Man machine systems;Medical services;Mobile robots;Path planning;Senior citizens;Technological innovation;Wheelchairs","handicapped aids;human computer interaction;intelligent robots;man-machine systems;medical robotics;mobile robots;path planning","HCI;human-machine interaction;intelligent wheelchair;mobile robotics;smooth path planning","","1","","18","","","20-23 Aug. 2006","","IEEE","IEEE Conference Publications"
"Notice of Violation of IEEE Publication Principles<BR>Advanced recognition techniques for human computer interaction","C. A. Burande; R. M. Tugnayat; N. K. Choudhary","Information Technology Dept., Jawaharlal Darda Institute of Engg & Tech, Yavatmal, India","2010 The 2nd International Conference on Computer and Automation Engineering (ICCAE)","20100419","2010","2","","480","483","Notice of Violation of IEEE Publication Principles<BR><BR>""Advanced Recognition Techniques for Human Computer Interaction""<BR>by Chetan A. Burande, Raju M. Tugnayat, Nitin K. Choudhary<BR>in the Proceedings of the 2nd International Conference on Computer and Automation Engineering (ICCAE), February 2010, pp. 480-483<BR><BR>After careful and considered review of the content and authorship of this paper by a duly constituted expert committee, this paper has been found to be in violation of IEEE's Publication Principles. <BR><BR>This paper contains substantial duplication of text and figures from the paper cited below. The original text was copied without attribution (including appropriate references to the original author(s) and/or paper title) and without permission.<BR><BR> Due to the nature of this violation, reasonable effort should be made to remove all past references to this paper, and future references should be made to the following article:<BR><BR>""Hand Gesture Recognition for Human-Machine Interaction""<BR>by Elena Sanchez-Nielsen (1), Luis Anton-Canalis (1), Mario Hernandez-Tejera (2)<BR>in the Journal of WSCG, Vol 12, No. I-3, February 2003, pp. 395-402<BR><BR>Hand gestures are an important modality for human computer interaction (HCI). Compared to many existing interfaces, hand gestures have the advantages of being easy to use, natural, and intuitive. Successful applications of hand gesture recognition include computer games control, human-robot interaction, and sign language recognition, to name a few. Vision-based recognition systems can give computers the capability of understanding and responding to hand gestures. The aim of this technique is the proposal of a real time vision system for its application within visual interaction environments through hand gesture recognition, using general-purpose hardware and low cost sensors, like a simple personal computer and an USB web cam, so any user could make use of it in his office or home. The basis of our- approach is a fast segmentation process to obtain the moving hand from the whole image, which is able to deal with a large number of hand shapes against different backgrounds and lighting conditions, and a recognition process that identifies the hand posture from the temporal sequence of segmented hands. The use of a visual memory (Stored database) allows the system to handle variations within a gesture and speed up the recognition process through the storage of different variables related to each gesture. A hierarchical gesture recognition algorithm is introduced to recognize a large number of gestures. Three stages of the proposed algorithm are based on a new hand tracking technique to recognize the actual beginning of a gesture using a Kalman filtering process, hidden Markov models and graph matching. Processing time is important in working with large databases. Therefore, special cares are taken to deal with the large number of gestures.","","Electronic:978-1-4244-5586-7; POD:978-1-4244-5569-0","10.1109/ICCAE.2010.5451617","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5451617","","Application software;Computer vision;Costs;Handicapped aids;Hardware;Human computer interaction;Image segmentation;Machine vision;Proposals;Real time systems","Kalman filters;computer vision;database management systems;gesture recognition;graph theory;hidden Markov models;human computer interaction;image segmentation;optical tracking;real-time systems","Kalman filtering;USB Web cam;general-purpose hardware;graph matching;hand gesture recognition;hand shape;hand tracking;hidden Markov model;hierarchical gesture recognition;human computer interaction;low cost sensor;personal computer;real time vision system;segmentation process;stored database;vision-based recognition system;visual interaction environment;visual memory","","1","","14","","","26-28 Feb. 2010","","IEEE","IEEE Conference Publications"
"Collaborative Systems & Shared Economy (Uberization): Principles & Case Study","B. David; R. Chalon; C. Yin","LIRIS, Univ. de Lyon, Lyon, France","2016 International Conference on Collaboration Technologies and Systems (CTS)","20170306","2016","","","57","63","In this paper we analyze the characteristics of collaborative systems and the characteristics of shared economy supporting systems. Uberization as present in many applications: Airbnb, Uber, BlablaCar, AMAP, circular economy, etc. needs a cooperative system support. We examine this approach from the point of view of ICT (Information and Communication Technologies) and, more specifically, HMI (Human Machine Interaction) and CSCW (Computer Supported Cooperative Work) and indicate what must be added to collaborative systems to support uberization. This paper also shows how to identify appropriate collaborative models and how to add new uberization services to obtain an uberization supporting platform. A case of design of a collaborative application for Carbon Free Parcel Distribution is also presented, and corresponding intermediation algorithms are discussed.","","Electronic:978-1-5090-2300-4; POD:978-1-5090-2301-1","10.1109/CTS.2016.0029","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7870967","Collaborative system;intermediation;platform;shared economy;uberization","Biological system modeling;Collaborative software;Collaborative work;Computer architecture;Organizations;Transportation","business data processing;groupware;human computer interaction","CSCW;HMI;ICT;carbon free parcel distribution;collaborative systems;computer supported cooperative work;human machine interaction;information and communication technologies;shared economy supporting systems;uberization","","","","","","","Oct. 31 2016-Nov. 4 2016","","IEEE","IEEE Conference Publications"
"Psychophysiologically Based Real-Time Adaptive General Type 2 Fuzzy Modeling and Self-Organizing Control of Operator's Performance Undertaking a Cognitive Task","L. A. Torres Salomao; M. Mahfouf; E. El-Samahy; C. H. Ting","Department of Automatic Control and Systems Engineering, The University of Sheffield, Sheffield, U.K.","IEEE Transactions on Fuzzy Systems","20170201","2017","25","1","43","57","This paper presents a new modeling and control fuzzy-based framework validated with real-time experiments on human participants experiencing stress via mental arithmetic cognitive tasks identified through psychophysiological markers. The ultimate aim of the modeling/control framework is to prevent performance breakdown in human-computer interactive systems with a special focus on human performance. Two designed modeling/control experiments which consist of carrying-out arithmetic operations of varying difficulty levels were performed by ten participants (operators) in the study. With this new technique, modeling is achieved through a new adaptive, self-organizing, and interpretable modeling framework based on general Type-2 fuzzy sets. This framework is able to learn in real time through the implementation of a restructured performance learning algorithm that identifies important features in the data without the need for prior training. The information learnt by the model is later exploited via an energy model based controller that infers adequate control actions by changing the difficulty level of the arithmetic operations in the human-computer interaction system; these actions being based on the most current psychophysiological state of the subject under study. The real-time implementation of the proposed modeling and control configurations for the human-machine interaction under study shows superior performance as compared to other forms of modeling and control, with minimal intervention in terms of model retraining or parameter retuning to deal with uncertainties, disturbances, and inter/intrasubject parameter variability.","1063-6706;10636706","","10.1109/TFUZZ.2016.2598363","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7534871","Adaptive;Type 2 fuzzy sets;control;human–machine interaction (HMI);mental stress;modeling;psychophysiological markers;real time","Adaptation models;Adaptive systems;Computational modeling;Real-time systems;Stress;Training","adaptive control;arithmetic;cognition;fuzzy control;fuzzy set theory;human computer interaction;learning systems;mathematical operators;psychology;real-time systems;self-adjusting systems","arithmetic operations;energy model based controller;fuzzy-based framework control;fuzzy-based framework modeling;human performance;human-computer interactive systems;mental arithmetic cognitive tasks;psychophysiological markers;psychophysiologically based real-time adaptive general type 2 fuzzy modeling;restructured performance learning algorithm;self-organizing control;self-organizing modeling;stress;type-2 fuzzy sets","","","","","","20160805","Feb. 2017","","IEEE","IEEE Journals & Magazines"
"An Intelligent SPN Dialogue Model for Extracting Non-Measurable Pathological Symptoms","S. Mallios; N. Bourbakis","Center of Assistive Res. Technol., Wright State Univ., Dayton, OH, USA","2016 IEEE 28th International Conference on Tools with Artificial Intelligence (ICTAI)","20170116","2016","","","758","765","The increasing occurrence of chronic conditions among the ageing population and people at risk is one of the major challenges for our society and the high cost for its healthcare systems. Prevention, early detection and efficient management of chronic, long-term conditions contribute radically to the individual wellbeing and the economic sustainability of social and healthcare systems. In response to this need, this paper offers a human-machine interaction (HMI) model using Stochastic Petri Nets (SPNs). This HMI is based on a dialogue model between a virtual medical doctor and a patient for the efficient extraction of non-measurable pathological symptoms. Thus, the goal of such a model is the improvement of life critical situations and long delays (or appointments) for certain categories of people in need, like the elderly or people with disabilities.","","Electronic:978-1-5090-4459-7; POD:978-1-5090-4460-3","10.1109/ICTAI.2016.0119","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7814679","dialogue manager model;dialogue systems;health monitoring;human-machine interaction;stochastic Petri nets","Artificial intelligence;Conferences","Petri nets;geriatrics;handicapped aids;health care;human computer interaction;interactive systems;stochastic processes;telemedicine","HMI model;ageing population;chronic long-term conditions;early detection;economic sustainability;elderly people;healthcare systems;human-machine interaction model;individual wellbeing;intelligent SPN dialogue model;nonmeasurable pathological symptom extraction;people with disabilities;stochastic Petri nets;virtual medical doctor","","","","","","","6-8 Nov. 2016","","IEEE","IEEE Conference Publications"
