Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Revealing Cultural Influences in Human Computer Interaction by Analyzing Big Data in Interactions","Active Media Technology","","","","10.1007/978-3-642-35236-2_58","Rüdiger HeimgärtnerHarald Kindermann","2012","http://link.springer.com/chapter/10.1007/978-3-642-35236-2_58","Chapter"
"Attention and Intention Goals Can Mediate Disruption in Human-Computer Interaction","Human-Computer Interaction – INTERACT 2011","","","","10.1007/978-3-642-23771-3_34","Ernesto ArroyoTed Selker","2011","http://link.springer.com/chapter/10.1007/978-3-642-23771-3_34","Chapter"
"Representations in Human–Computer Systems Development","Cognition, Technology & Work","","4","3","10.1007/s101110200017","D. Benyon","2002","http://link.springer.com/article/10.1007/s101110200017","Article"
"A human-centred methodology applied to decision support system design and evaluation in a railway network context","Cognition, Technology & Work","","5","4","10.1007/s10111-003-0128-9","S. LepreuxM. AbedC. Kolski","2003","http://link.springer.com/article/10.1007/s10111-003-0128-9","Article"
"Handbook of Human–Computer Interaction, Martin G. Helander, Thomas K. Landauer and Prasad V. Prabhu (eds.)","Journal of Intelligent and Robotic Systems","","28","3","10.1023/A:1008171820407","Spyros G. Tzafestas","2000","http://link.springer.com/article/10.1023/A%3A1008171820407","Article"
"A Kinect-Based Natural Interface for Quadrotor Control","Intelligent Technologies for Interactive Entertainment","","","","10.1007/978-3-642-30214-5_6","Andrea SannaFabrizio LambertiGianluca ParavatiEduardo Andres Henao RamirezFederico Manuri","2012","http://link.springer.com/chapter/10.1007/978-3-642-30214-5_6","Chapter"
"COMUNICAR: designing a multimedia, context-aware human-machine interface for cars","Cognition, Technology & Work","","7","1","10.1007/s10111-004-0168-9","F. BellottiA. De GloriaR. MontanariN. DosioD. Morreale","2005","http://link.springer.com/article/10.1007/s10111-004-0168-9","Article"
"Description languages for multimodal interaction: a set of guidelines and its illustration with SMUIML","Journal on Multimodal User Interfaces","","3","3","10.1007/s12193-010-0043-3","Bruno DumasDenis LalanneRolf Ingold","2010","http://link.springer.com/article/10.1007/s12193-010-0043-3","Article"
"A Multi-Modal and Collaborative Human–Machine Interface for a Walking Robot","Journal of Intelligent and Robotic Systems","","35","4","10.1023/A:1022303009950","J. EstremeraE. GarciaP. Gonzalez de Santos","2002","http://link.springer.com/article/10.1023/A%3A1022303009950","Article"
"Introduction and Motivation","Quantifying Quality Aspects of Multimodal Interactive Systems","","","","10.1007/978-3-642-29602-4_1","Christine Kühnel","2012","http://link.springer.com/chapter/10.1007/978-3-642-29602-4_1","Chapter"
